x0,x1,x2,fitness
-5,-5,-5,-732.344
-5,-5,-4.5,-791.953
-5,-5,-4,-911.308
-5,-5,-3.5,-1041.738
-5,-5,-3,-1226.939
-5,-5,-2.5,-1315.926
-5,-5,-2,-1655.393
-5,-5,-1.5,-1446.215
-5,-5,-1,-1694.737
-5,-5,-0.5,-1325.784
-5,-5,0,-1562.222
-5,-5,0.5,-1202.694
-5,-5,1,-1464.81
-5,-5,1.5,-1131.052
-5,-5,2,-1419.949
-5,-5,2.5,-1112.638
-5,-5,3,-1428.19
-5,-5,3.5,-1147.477
-5,-5,4,-1489.713
-5,-5,4.5,-1235.657
-5,-5,5,-1604.571
-5,-4.5,-5,-713.077
-5,-4.5,-4.5,-772.327
-5,-4.5,-4,-890.804
-5,-4.5,-3.5,-1013.905
-5,-4.5,-3,-1181.866
-5,-4.5,-2.5,-1211.443
-5,-4.5,-2,-1483.604
-5,-4.5,-1.5,-1219.446
-5,-4.5,-1,-1447.553
-5,-4.5,-0.5,-1071.64
-5,-4.5,0,-1305.983
-5,-4.5,0.5,-946.025
-5,-4.5,1,-1207.832
-5,-4.5,1.5,-874.218
-5,-4.5,2,-1162.97
-5,-4.5,2.5,-855.725
-5,-4.5,3,-1171.166
-5,-4.5,3.5,-890.477
-5,-4.5,4,-1232.646
-5,-4.5,4.5,-978.623
-5,-4.5,5,-1347.498
-5,-4,-5,-565.704
-5,-4,-4.5,-627.474
-5,-4,-4,-754.296
-5,-4,-3.5,-897.979
-5,-4,-3,-1123.965
-5,-4,-2.5,-1238.948
-5,-4,-2,-1603.535
-5,-4,-1.5,-1383.64
-5,-4,-1,-1630.262
-5,-4,-0.5,-1261.332
-5,-4,0,-1497.591
-5,-4,0.5,-1139.033
-5,-4,1,-1400.96
-5,-4,1.5,-1068.085
-5,-4,2,-1356.723
-5,-4,2.5,-1049.771
-5,-4,3,-1365.056
-5,-4,3.5,-1084.492
-5,-4,4,-1426.564
-5,-4,4.5,-1172.649
-5,-4,5,-1541.471
-5,-3.5,-5,-737.031
-5,-3.5,-4.5,-797.738
-5,-3.5,-4,-920.878
-5,-3.5,-3.5,-1046.836
-5,-3.5,-3,-1227.441
-5,-3.5,-2.5,-1233.041
-5,-3.5,-2,-1484.456
-5,-3.5,-1.5,-1195.508
-5,-3.5,-1,-1413.536
-5,-3.5,-0.5,-1036.972
-5,-3.5,0,-1268.895
-5,-3.5,0.5,-910.353
-5,-3.5,1,-1171.084
-5,-3.5,1.5,-839.118
-5,-3.5,2,-1127
-5,-3.5,2.5,-820.374
-5,-3.5,3,-1135.061
-5,-3.5,3.5,-854.613
-5,-3.5,4,-1196.315
-5,-3.5,4.5,-942.569
-5,-3.5,5,-1311.163
-5,-3,-5,-751.77
-5,-3,-4.5,-815.337
-5,-3,-4,-946.478
-5,-3,-3.5,-1088.612
-5,-3,-3,-1309.278
-5,-3,-2.5,-1361.114
-5,-3,-2,-1653.385
-5,-3,-1.5,-1393.568
-5,-3,-1,-1617.989
-5,-3,-0.5,-1250.314
-5,-3,0,-1481.734
-5,-3,0.5,-1127.496
-5,-3,1,-1387.728
-5,-3,1.5,-1059.321
-5,-3,2,-1346.469
-5,-3,2.5,-1041.338
-5,-3,3,-1355.164
