"x0","x1","x2","fitness","file"
-5,-5,0,-1487.743,"CF2"
-5,-4.5,0,-1109.167,"CF2"
-5,-4,0,-1393.608,"CF2"
-5,-3.5,0,-1056.192,"CF2"
-5,-3,0,-1384.206,"CF2"
-5,-2.5,0,-1083.821,"CF2"
-5,-2,0,-1447.409,"CF2"
-5,-1.5,0,-1180.705,"CF2"
-5,-1,0,-1527.042,"CF2"
-5,-0.5,0,-1236.197,"CF2"
-5,0,0,-1373.202,"CF2"
-5,0.5,0,-991.987,"CF2"
-5,1,0,-900.683,"CF2"
-5,1.5,0,-745.834,"CF2"
-5,2,0,-726.756,"CF2"
-5,2.5,0,-864.568,"CF2"
-5,3,0,-749.433,"CF2"
-5,3.5,0,-1052.483,"CF2"
-5,4,0,-554.678,"CF2"
-5,4.5,0,-1045.968,"CF2"
-5,5,0,-625.567,"CF2"
-4.5,-5,0,-816.82,"CF2"
-4.5,-4.5,0,-441.591,"CF2"
-4.5,-4,0,-716.021,"CF2"
-4.5,-3.5,0,-383.807,"CF2"
-4.5,-3,0,-707.38,"CF2"
-4.5,-2.5,0,-412.153,"CF2"
-4.5,-2,0,-777.254,"CF2"
-4.5,-1.5,0,-534.064,"CF2"
-4.5,-1,0,-930.441,"CF2"
-4.5,-0.5,0,-782.391,"CF2"
-4.5,0,0,-1070.977,"CF2"
-4.5,0.5,0,-814.5,"CF2"
-4.5,1,0,-763.241,"CF2"
-4.5,1.5,0,-633.788,"CF2"
-4.5,2,0,-625.717,"CF2"
-4.5,2.5,0,-726.295,"CF2"
-4.5,3,0,-693.376,"CF2"
-4.5,3.5,0,-835.592,"CF2"
-4.5,4,0,-579.015,"CF2"
-4.5,4.5,0,-814.396,"CF2"
-4.5,5,0,-627.3,"CF2"
-4,-5,0,-1362.166,"CF2"
-4,-4.5,0,-1006.457,"CF2"
-4,-4,0,-1276.743,"CF2"
-4,-3.5,0,-963.202,"CF2"
-4,-3,0,-1286.041,"CF2"
-4,-2.5,0,-995.612,"CF2"
-4,-2,0,-1349.682,"CF2"
-4,-1.5,0,-1089.528,"CF2"
-4,-1,0,-1400.396,"CF2"
-4,-0.5,0,-1120.167,"CF2"
-4,0,0,-1234.94,"CF2"
-4,0.5,0,-916.519,"CF2"
-4,1,0,-812.723,"CF2"
-4,1.5,0,-683.369,"CF2"
-4,2,0,-675.447,"CF2"
-4,2.5,0,-654.466,"CF2"
-4,3,0,-824.385,"CF2"
-4,3.5,0,-541.656,"CF2"
-4,4,0,-825.377,"CF2"
-4,4.5,0,-456.069,"CF2"
-4,5,0,-762.892,"CF2"
-3.5,-5,0,-758.784,"CF2"
-3.5,-4.5,0,-416.625,"CF2"
-3.5,-4,0,-653.517,"CF2"
-3.5,-3.5,0,-325.852,"CF2"
-3.5,-3,0,-655.01,"CF2"
-3.5,-2.5,0,-385.748,"CF2"
-3.5,-2,0,-741.506,"CF2"
-3.5,-1.5,0,-520.188,"CF2"
-3.5,-1,0,-897.716,"CF2"
-3.5,-0.5,0,-781.882,"CF2"
-3.5,0,0,-1020.102,"CF2"
-3.5,0.5,0,-783.047,"CF2"
-3.5,1,0,-699.16,"CF2"
-3.5,1.5,0,-586.16,"CF2"
-3.5,2,0,-582.694,"CF2"
-3.5,2.5,0,-542.627,"CF2"
-3.5,3,0,-745.05,"CF2"
-3.5,3.5,0,-411.031,"CF2"
-3.5,4,0,-774.879,"CF2"
-3.5,4.5,0,-346.264,"CF2"
-3.5,5,0,-714.771,"CF2"
-3,-5,0,-1238.375,"CF2"
-3,-4.5,0,-954.052,"CF2"
-3,-4,0,-1178.077,"CF2"
-3,-3.5,0,-946.487,"CF2"
-3,-3,0,-1252.783,"CF2"
-3,-2.5,0,-985.634,"CF2"
-3,-2,0,-1302.765,"CF2"
-3,-1.5,0,-1040.887,"CF2"
-3,-1,0,-1245.61,"CF2"
-3,-0.5,0,-912.676,"CF2"
-3,0,0,-977.036,"CF2"
-3,0.5,0,-662.484,"CF2"
-3,1,0,-580.285,"CF2"
-3,1.5,0,-456.796,"CF2"
-3,2,0,-440.208,"CF2"
-3,2.5,0,-508.1,"CF2"
-3,3,0,-474.33,"CF2"
-3,3.5,0,-553.93,"CF2"
-3,4,0,-404.076,"CF2"
-3,4.5,0,-550.009,"CF2"
-3,5,0,-469.025,"CF2"
-2.5,-5,0,-797.675,"CF2"
-2.5,-4.5,0,-545.079,"CF2"
-2.5,-4,0,-650.698,"CF2"
-2.5,-3.5,0,-476.705,"CF2"
-2.5,-3,0,-719.055,"CF2"
-2.5,-2.5,0,-528.349,"CF2"
-2.5,-2,0,-808.266,"CF2"
-2.5,-1.5,0,-589.262,"CF2"
-2.5,-1,0,-832.915,"CF2"
-2.5,-0.5,0,-640.871,"CF2"
-2.5,0,0,-792.962,"CF2"
-2.5,0.5,0,-516.237,"CF2"
-2.5,1,0,-467.06,"CF2"
-2.5,1.5,0,-329.808,"CF2"
