"x0","x1","x2","fitness","file","dimension"
-5,-5,-5,-1280.389,"CF1","3D"
-5,-5,-4.5,-1423.62,"CF1","3D"
-5,-5,-4,-1457.655,"CF1","3D"
-5,-5,-3.5,-1811.02,"CF1","3D"
-5,-5,-3,-1823.385,"CF1","3D"
-5,-5,-2.5,-2045.898,"CF1","3D"
-5,-5,-2,-2351.165,"CF1","3D"
-5,-5,-1.5,-2531.923,"CF1","3D"
-5,-5,-1,-2593.018,"CF1","3D"
-5,-5,-0.5,-2611.499,"CF1","3D"
-5,-5,0,-2624.367,"CF1","3D"
-5,-5,0.5,-2633.303,"CF1","3D"
-5,-5,1,-2640.93,"CF1","3D"
-5,-5,1.5,-2646.187,"CF1","3D"
-5,-5,2,-2649.255,"CF1","3D"
-5,-5,2.5,-2649.787,"CF1","3D"
-5,-5,3,-2647.902,"CF1","3D"
-5,-5,3.5,-2643.796,"CF1","3D"
-5,-5,4,-2637.852,"CF1","3D"
-5,-5,4.5,-2630.635,"CF1","3D"
-5,-5,5,-2622.833,"CF1","3D"
-5,-4.5,-5,-1212.184,"CF1","3D"
-5,-4.5,-4.5,-1356.202,"CF1","3D"
-5,-4.5,-4,-1392.794,"CF1","3D"
-5,-4.5,-3.5,-1751.264,"CF1","3D"
-5,-4.5,-3,-1779.317,"CF1","3D"
-5,-4.5,-2.5,-2022.711,"CF1","3D"
-5,-4.5,-2,-2333.647,"CF1","3D"
-5,-4.5,-1.5,-2514.311,"CF1","3D"
-5,-4.5,-1,-2580.552,"CF1","3D"
-5,-4.5,-0.5,-2606.895,"CF1","3D"
-5,-4.5,0,-2627.491,"CF1","3D"
-5,-4.5,0.5,-2643.836,"CF1","3D"
-5,-4.5,1,-2658.018,"CF1","3D"
-5,-4.5,1.5,-2668.028,"CF1","3D"
-5,-4.5,2,-2673.958,"CF1","3D"
-5,-4.5,2.5,-2675.006,"CF1","3D"
-5,-4.5,3,-2671.435,"CF1","3D"
-5,-4.5,3.5,-2663.599,"CF1","3D"
-5,-4.5,4,-2652.182,"CF1","3D"
-5,-4.5,4.5,-2638.196,"CF1","3D"
-5,-4.5,5,-2622.877,"CF1","3D"
-5,-4,-5,-937.713,"CF1","3D"
-5,-4,-4.5,-1083.858,"CF1","3D"
-5,-4,-4,-1127.334,"CF1","3D"
-5,-4,-3.5,-1503.317,"CF1","3D"
-5,-4,-3,-1578.871,"CF1","3D"
-5,-4,-2.5,-1898.858,"CF1","3D"
-5,-4,-2,-2269.478,"CF1","3D"
-5,-4,-1.5,-2481.319,"CF1","3D"
-5,-4,-1,-2563.806,"CF1","3D"
-5,-4,-0.5,-2600.047,"CF1","3D"
-5,-4,0,-2627.482,"CF1","3D"
-5,-4,0.5,-2649.719,"CF1","3D"
-5,-4,1,-2669.363,"CF1","3D"
